Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 231426.486	93.63	95.84	n/a	n/a	n/a	n/a	n/a	n/a	1.17	1.06	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-9.942	1
29072023 231447.683	84.73	99.89	n/a	n/a	n/a	n/a	n/a	n/a	1.06	1.11	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-9.942	1
29072023 231508.777	126.54	104.82	n/a	n/a	n/a	n/a	n/a	n/a	1.59	1.17	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-9.942	1
29072023 231529.974	143.91	107.18	n/a	n/a	n/a	n/a	n/a	n/a	1.81	1.19	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-9.942	1
29072023 231551.375	126.74	91.55	n/a	n/a	n/a	n/a	n/a	n/a	1.59	1.01	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-9.942	1
29072023 231612.777	109.96	41.04	n/a	n/a	n/a	n/a	n/a	n/a	1.38	0.42	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-9.942	1
29072023 231634.076	107.15	12.80	n/a	n/a	n/a	n/a	n/a	n/a	1.34	0.09	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-9.942	1
29072023 231655.273	81.73	2.43	n/a	n/a	n/a	n/a	n/a	n/a	1.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-9.942	1
29072023 231716.470	50.87	14.12	n/a	n/a	n/a	n/a	n/a	n/a	0.63	0.11	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-9.942	1
29072023 231737.769	39.55	29.75	n/a	n/a	n/a	n/a	n/a	n/a	0.48	0.29	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-9.942	1
29072023 231758.965	46.87	33.52	n/a	n/a	n/a	n/a	n/a	n/a	0.58	0.33	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-9.942	1
29072023 231820.086	43.72	35.69	n/a	n/a	n/a	n/a	n/a	n/a	0.54	0.36	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-9.942	1
29072023 231841.282	32.37	30.82	n/a	n/a	n/a	n/a	n/a	n/a	0.39	0.30	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-9.942	1
29072023 234116.085	700.43	867.99	n/a	n/a	n/a	n/a	n/a	n/a	8.90	10.08	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-9.942	1
29072023 234137.282	334.91	329.52	n/a	n/a	n/a	n/a	n/a	n/a	4.24	3.79	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-9.942	1
29072023 234158.479	286.43	268.13	n/a	n/a	n/a	n/a	n/a	n/a	3.63	3.07	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-9.942	1
29072023 234219.880	268.32	231.04	n/a	n/a	n/a	n/a	n/a	n/a	3.40	2.64	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-9.942	1
29072023 234241.282	242.41	207.28	n/a	n/a	n/a	n/a	n/a	n/a	3.07	2.36	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-9.942	1
29072023 234302.683	256.36	169.98	n/a	n/a	n/a	n/a	n/a	n/a	3.24	1.93	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-9.942	1
29072023 234324.085	176.66	137.90	n/a	n/a	n/a	n/a	n/a	n/a	2.23	1.55	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-9.942	1
29072023 234345.487	190.94	146.17	n/a	n/a	n/a	n/a	n/a	n/a	2.41	1.65	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-9.942	1
29072023 234406.888	99.87	99.32	n/a	n/a	n/a	n/a	n/a	n/a	1.25	1.10	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-9.942	1
29072023 234428.264	93.40	74.96	n/a	n/a	n/a	n/a	n/a	n/a	1.17	0.82	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-9.942	1
29072023 234449.666	69.51	56.85	n/a	n/a	n/a	n/a	n/a	n/a	0.86	0.61	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-9.942	1
29072023 234511.067	52.73	24.90	n/a	n/a	n/a	n/a	n/a	n/a	0.65	0.23	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-9.942	1
