Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 171139.253	903.34	801.02	n/a	n/a	n/a	n/a	n/a	n/a	11.49	9.29	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 171200.449	851.52	772.65	n/a	n/a	n/a	n/a	n/a	n/a	10.83	8.96	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 171221.646	669.00	324.58	n/a	n/a	n/a	n/a	n/a	n/a	8.50	3.73	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 171242.740	319.10	295.66	n/a	n/a	n/a	n/a	n/a	n/a	4.04	3.39	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 171303.937	383.29	321.25	n/a	n/a	n/a	n/a	n/a	n/a	4.86	3.69	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 171325.057	376.33	325.00	n/a	n/a	n/a	n/a	n/a	n/a	4.77	3.74	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 171346.253	410.45	336.33	n/a	n/a	n/a	n/a	n/a	n/a	5.21	3.87	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 171407.552	376.38	316.60	n/a	n/a	n/a	n/a	n/a	n/a	4.77	3.64	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 171428.749	325.27	292.16	n/a	n/a	n/a	n/a	n/a	n/a	4.12	3.35	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 171449.843	364.64	252.59	n/a	n/a	n/a	n/a	n/a	n/a	4.62	2.89	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 171511.040	285.18	142.32	n/a	n/a	n/a	n/a	n/a	n/a	3.61	1.60	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 171532.134	196.59	101.87	n/a	n/a	n/a	n/a	n/a	n/a	2.48	1.13	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 171553.254	126.92	121.48	n/a	n/a	n/a	n/a	n/a	n/a	1.60	1.36	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 171614.450	107.60	77.99	n/a	n/a	n/a	n/a	n/a	n/a	1.35	0.85	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 171635.545	118.43	104.91	n/a	n/a	n/a	n/a	n/a	n/a	1.49	1.17	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 171656.741	87.92	74.77	n/a	n/a	n/a	n/a	n/a	n/a	1.10	0.82	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 171717.836	96.62	34.10	n/a	n/a	n/a	n/a	n/a	n/a	1.21	0.34	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 171739.058	58.47	31.85	n/a	n/a	n/a	n/a	n/a	n/a	0.72	0.32	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 171800.434	56.01	68.86	n/a	n/a	n/a	n/a	n/a	n/a	0.69	0.75	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 171821.835	53.69	96.18	n/a	n/a	n/a	n/a	n/a	n/a	0.66	1.07	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
29072023 171843.134	54.22	139.15	n/a	n/a	n/a	n/a	n/a	n/a	0.67	1.57	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
